Model,Library,Format,Training Time (s),Memory Usage (MB),Validation Accuracy
GCN,PyG,CSC,PubMed,1.5494740009307861,4.6015625,0.745
GCN,DGL,COO,PubMed,1.3197011947631836,-12.45703125,0.7664807302231237
GCN,DGL,CSR,PubMed,1.2816057205200195,-30.0,0.7809330628803245
GCN,DGL,CSC,PubMed,1.3401601314544678,-67.32421875,0.7834685598377282
GraphSAGE,PyG,COO,PubMed,2.712646961212158,194.0703125,0.732
GraphSAGE,PyG,CSR,PubMed,2.66102933883667,42.45703125,0.751
GraphSAGE,PyG,CSC,PubMed,2.6496243476867676,1.74609375,0.723
GraphSAGE,DGL,COO,PubMed,2.7247538566589355,-38.2890625,0.808316430020284
GraphSAGE,DGL,CSR,PubMed,2.7296996116638184,33.40625,0.8042596348884381
GraphSAGE,DGL,CSC,PubMed,3.1471142768859863,15.2890625,0.8265720081135902
GAT,PyG,COO,PubMed,2.058828830718994,-212.00390625,0.729
GAT,PyG,CSR,PubMed,2.0334553718566895,0.69140625,0.738
GAT,PyG,CSC,PubMed,2.0293517112731934,1.5703125,0.724
GAT,DGL,COO,PubMed,2.0816521644592285,0.28125,0.6460446247464503
GAT,DGL,CSR,PubMed,2.0764713287353516,0.18359375,0.7740872210953347
GAT,DGL,CSC,PubMed,2.0353007316589355,2.5546875,0.7091784989858012
GCN,PyG,COO,CiteSeer,0.8815269470214844,10.91796875,0.632
GCN,PyG,CSR,CiteSeer,1.0683095455169678,2.2421875,0.638
GCN,PyG,CSC,CiteSeer,1.0434343814849854,1.99609375,0.644
GCN,DGL,COO,CiteSeer,0.8632030487060547,1.19921875,0.7732732732732732
GCN,DGL,CSR,CiteSeer,0.9368147850036621,0.0,0.7835365853658537
GCN,DGL,CSC,CiteSeer,0.9320781230926514,0.46484375,0.7672672672672672
GraphSAGE,PyG,COO,CiteSeer,2.6843466758728027,-43.87109375,0.521
GraphSAGE,PyG,CSR,CiteSeer,2.5475974082946777,6.13671875,0.51
GraphSAGE,PyG,CSC,CiteSeer,2.5367584228515625,-226.61328125,0.453
GraphSAGE,DGL,COO,CiteSeer,2.4397048950195312,-264.60546875,0.7477477477477478
GraphSAGE,DGL,CSR,CiteSeer,2.45117449760437,-13.21875,0.7515243902439024
GraphSAGE,DGL,CSC,CiteSeer,2.850395441055298,-214.29296875,0.7747747747747747
GAT,PyG,COO,CiteSeer,1.066695213317871,-219.015625,0.617
GAT,PyG,CSR,CiteSeer,1.0601978302001953,1.29296875,0.631
GAT,PyG,CSC,CiteSeer,1.0278644561767578,2.203125,0.595
GAT,DGL,COO,CiteSeer,1.103283405303955,2.15625,0.7552552552552553
GAT,DGL,CSR,CiteSeer,1.0604066848754883,1.921875,0.760670731707317
GAT,DGL,CSC,CiteSeer,1.0591633319854736,1.85546875,0.7582582582582582
GCN,PyG,COO,PPI,0.7784826755523682,44.7890625,0.7085259373394966
GCN,PyG,COO,PPI,0.8209939002990723,44.76171875,0.6825885978428351
GCN,PyG,COO,CiteSeer,1.0063221454620361,11.0234375,0.63
GCN,PyG,CSR,CiteSeer,1.1959474086761475,2.30078125,0.637
GCN,PyG,CSC,CiteSeer,1.165163278579712,1.9921875,0.654
